CPU,NUMERO_ITERACION,LATENCIA
1,2050,26830
1,2051,30256
1,2052,30885
1,2053,31737
1,2054,31812
1,2055,29238
1,2056,30719
1,2057,31701
1,2058,31033
1,2059,31459
1,2060,31311
1,2061,28312
1,2062,30812
1,2063,31108
1,2064,31108
1,2065,31626
1,2066,26163
1,2067,26145
1,2068,31904
1,2069,31145
1,2070,31682
1,2071,31219
1,2072,30922
1,2073,28997
1,2074,30960
1,2075,31238
1,2076,31108
1,2077,31997
1,2078,25052
1,2079,25053
1,2080,30793
1,2081,30701
1,2082,31033
1,2083,31441
1,2084,30627
1,2085,27182
1,2086,26385
1,2087,30960
1,2088,30793
1,2089,31349
1,2090,31460
1,2091,31923
1,2092,36571
1,2093,30904
1,2094,30126
1,2095,30293
1,2096,30330
1,2097,31349
1,2098,28312
1,2099,31034
1,2100,31275
1,2101,31589
1,2102,31108
1,2103,31219
1,2104,30942
1,2105,31071
1,2106,26960
1,2107,33830
1,2108,31515
1,2109,30830
1,2110,30441
1,2111,30979
1,2112,31311
1,2113,31774
1,2114,31663
1,2115,28904
1,2116,36848
1,2117,31071
1,2118,36237
1,2119,31089
1,2120,32867
1,2121,30830
1,2122,36663
1,2123,27737
1,2124,27757
1,2125,30904
1,2126,36441
1,2127,31608
1,2128,36608
1,2129,27626
1,2130,30941
1,2131,30701
1,2132,37719
1,2133,31312
1,2134,32090
1,2135,28700
1,2136,31830
1,2137,31164
1,2138,36534
1,2139,30626
1,2140,36589
1,2141,31274
1,2142,30386
1,2143,30756
1,2144,32090
1,2145,31127
1,2146,32219
1,2147,25774
1,2148,31719
1,2149,30738
1,2150,30738
1,2151,29775
1,2152,28368
1,2153,26312
1,2154,27404
1,2155,25701
1,2156,27089
1,2157,26016
1,2158,27034
1,2159,26386
1,2160,27478
1,2161,26089
1,2162,26830
1,2163,25849
1,2164,27312
1,2165,26071
1,2166,26941
1,2167,26145
1,2168,27293
1,2169,25774
1,2170,26997
1,2171,26182
1,2172,26904
1,2173,26070
1,2174,26756
1,2175,25922
1,2176,26941
1,2177,25682
1,2178,26700
1,2179,25701
1,2180,26886
1,2181,25978
1,2182,27108
1,2183,25905
1,2184,27275
1,2185,25997
1,2186,26867
1,2187,25830
1,2188,26645
1,2189,25516
1,2190,26738
1,2191,26052
1,2192,27182
1,2193,25682
1,2194,26904
1,2195,25830
1,2196,26978
1,2197,25756
1,2198,26978
1,2199,26016
1,2200,26849
1,2201,25923
1,2202,26923
1,2203,26108
1,2204,27200
1,2205,25997
1,2206,26885
1,2207,26441
1,2208,27478
1,2209,26460
1,2210,26849
1,2211,25886
1,2212,26923
1,2213,26627
1,2214,27756
1,2215,26126
1,2216,26904
1,2217,25849
1,2218,26904
1,2219,26219
1,2220,27330
1,2221,25867
1,2222,27108
1,2223,26071
1,2224,26923
1,2225,26460
1,2226,27478
1,2227,26034
1,2228,27960
1,2229,25959
1,2230,26812
1,2231,25497
1,2232,26496
1,2233,25645
1,2234,26293
1,2235,25775
1,2236,26922
1,2237,26515
1,2238,26571
1,2239,25701
1,2240,26978
1,2241,25664
1,2242,27330
1,2243,26311
1,2244,27385
